,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
48,0.43,0.54,0.54,0.32,0.29,0.67,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",liberal_majority
27,0.42,0.52,0.52,0.28,0.31,0.66,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",liberal_majority
60,0.42,0.54,0.54,0.29,0.29,0.68,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
35,0.4,0.52,0.52,0.29,0.24,0.66,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",liberal_majority
38,0.4,0.52,0.52,0.26,0.25,0.67,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",liberal_majority
40,0.4,0.52,0.52,0.21,0.31,0.67,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",liberal_majority
55,0.4,0.51,0.51,0.29,0.27,0.66,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
52,0.39,0.49,0.49,0.24,0.29,0.63,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",liberal_majority
39,0.39,0.5,0.5,0.23,0.3,0.65,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",liberal_majority
17,0.39,0.52,0.52,0.22,0.29,0.67,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",liberal_majority
29,0.39,0.51,0.51,0.25,0.25,0.66,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",liberal_majority
62,0.39,0.52,0.52,0.22,0.26,0.67,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
10,0.39,0.51,0.51,0.26,0.25,0.65,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'lemma')",liberal_majority
50,0.38,0.53,0.53,0.19,0.27,0.69,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
8,0.38,0.49,0.49,0.23,0.27,0.64,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",liberal_majority
57,0.38,0.51,0.51,0.24,0.26,0.65,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",liberal_majority
46,0.37,0.48,0.48,0.18,0.28,0.64,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",liberal_majority
56,0.37,0.43,0.43,0.23,0.34,0.54,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",liberal_majority
58,0.37,0.48,0.48,0.21,0.28,0.63,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",liberal_majority
23,0.37,0.43,0.43,0.26,0.3,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",liberal_majority
61,0.37,0.48,0.48,0.19,0.28,0.64,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
30,0.37,0.52,0.52,0.2,0.23,0.69,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",liberal_majority
49,0.37,0.5,0.5,0.23,0.24,0.66,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",liberal_majority
53,0.36,0.49,0.49,0.15,0.29,0.65,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",liberal_majority
45,0.36,0.49,0.49,0.16,0.26,0.65,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",liberal_majority
43,0.36,0.47,0.47,0.2,0.27,0.62,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",liberal_majority
59,0.36,0.53,0.53,0.13,0.25,0.7,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
36,0.36,0.48,0.48,0.15,0.29,0.64,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",liberal_majority
31,0.36,0.41,0.41,0.19,0.36,0.52,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",liberal_majority
19,0.36,0.48,0.48,0.22,0.24,0.63,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",liberal_majority
24,0.36,0.47,0.47,0.19,0.28,0.62,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",liberal_majority
22,0.36,0.42,0.42,0.2,0.34,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",liberal_majority
5,0.36,0.49,0.49,0.22,0.22,0.65,"{'C': 10, 'class_weight': 'balanced'}","('lemma',)",liberal_majority
42,0.35,0.42,0.42,0.23,0.29,0.54,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",liberal_majority
34,0.35,0.43,0.43,0.14,0.33,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",liberal_majority
54,0.35,0.51,0.51,0.13,0.26,0.67,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",liberal_majority
14,0.35,0.49,0.49,0.12,0.29,0.65,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",liberal_majority
20,0.35,0.49,0.49,0.18,0.21,0.66,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",liberal_majority
51,0.34,0.41,0.41,0.13,0.34,0.54,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",liberal_majority
26,0.34,0.4,0.4,0.21,0.27,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",liberal_majority
18,0.34,0.43,0.43,0.25,0.19,0.58,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",liberal_majority
44,0.34,0.42,0.42,0.19,0.27,0.56,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",liberal_majority
21,0.34,0.4,0.4,0.21,0.3,0.51,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",liberal_majority
11,0.34,0.4,0.4,0.15,0.33,0.54,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",liberal_majority
33,0.34,0.46,0.46,0.15,0.25,0.62,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",liberal_majority
32,0.34,0.41,0.41,0.15,0.34,0.54,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",liberal_majority
9,0.33,0.43,0.43,0.17,0.24,0.59,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",liberal_majority
3,0.33,0.38,0.38,0.21,0.28,0.5,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg',)",liberal_majority
13,0.33,0.4,0.4,0.14,0.31,0.54,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'adu')",liberal_majority
6,0.33,0.4,0.4,0.16,0.29,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc')",liberal_majority
47,0.33,0.4,0.4,0.24,0.23,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",liberal_majority
41,0.33,0.38,0.38,0.16,0.33,0.5,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",liberal_majority
2,0.33,0.41,0.41,0.2,0.26,0.54,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg',)",liberal_majority
1,0.33,0.39,0.39,0.14,0.34,0.5,"{'C': 100, 'class_weight': 'balanced'}","('nrc',)",liberal_majority
15,0.32,0.36,0.36,0.29,0.22,0.45,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",liberal_majority
