,article_id,challenging,no_effect,reinforcing,split_label,concat_results,concat_results_binary,majority,distribution_CRNe
0,1638697.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
1,1638699.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
2,1638700.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
3,1638901.txt,1.0,1.0,1.0,train,111,TrueTrueTrue,na,"[0.333, 0.333, 0.333]"
4,1638989.txt,1.0,0.0,2.0,train,120,TrueTrueFalse,reinforcing,"[0.333, 0.667, 0.0]"
5,1639627.txt,2.0,1.0,0.0,train,201,TrueFalseTrue,challenging,"[0.667, 0.0, 0.333]"
6,1639855.txt,1.0,2.0,0.0,train,102,TrueFalseTrue,no_effect,"[0.333, 0.0, 0.667]"
7,1640113.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
8,1640273.txt,0.0,1.0,2.0,train,021,FalseTrueTrue,reinforcing,"[0.0, 0.667, 0.333]"
9,1640526.txt,0.0,1.0,2.0,train,021,FalseTrueTrue,reinforcing,"[0.0, 0.667, 0.333]"
10,1640574.txt,1.0,1.0,1.0,train,111,TrueTrueTrue,na,"[0.333, 0.333, 0.333]"
11,1640627.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
12,1640630.txt,0.0,2.0,1.0,train,012,FalseTrueTrue,no_effect,"[0.0, 0.333, 0.667]"
13,1640915.txt,1.0,1.0,1.0,train,111,TrueTrueTrue,na,"[0.333, 0.333, 0.333]"
14,1641561.txt,0.0,1.0,2.0,train,021,FalseTrueTrue,reinforcing,"[0.0, 0.667, 0.333]"
15,1641562.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
16,1641834.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
17,1642127.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
18,1642336.txt,0.0,0.0,3.0,train,030,FalseTrueFalse,reinforcing,"[0.0, 1.0, 0.0]"
19,1642337.txt,0.0,1.0,2.0,train,021,FalseTrueTrue,reinforcing,"[0.0, 0.667, 0.333]"
20,1642371.txt,0.0,2.0,1.0,train,012,FalseTrueTrue,no_effect,"[0.0, 0.333, 0.667]"
21,1642375.txt,0.0,3.0,0.0,train,003,FalseFalseTrue,no_effect,"[0.0, 0.0, 1.0]"
